Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield
2015-12-31,3.956700086593628,73.2300033569336,66.45500183105469,6.481200218200684,15.534799575805664,1.093398094177246,120.44999694824219,1.481920599937439,1.3871999979019165,98.62999725341797,37.040000915527344,1060.300048828125,,,,
2016-01-01,,,,,,,,,,,,,0.34,237.652,12526.2,2.09
2016-01-31,4.066999912261963,76.55000305175781,68.09300231933594,6.565199851989746,16.16699981689453,1.0936970710754395,118.93000030517578,1.4362038373947144,1.4034299850463867,99.61000061035156,33.619998931884766,1116.4000244140625,,,,
2016-02-01,,,,,,,,,,,,,0.38,237.336,12599.1,1.78
2016-02-29,3.9646999835968018,76.33999633789062,68.7300033569336,6.530399799346924,16.1600399017334,1.0923947095870972,113.66000366210938,1.3861935138702393,1.354699969291687,98.20999908447266,33.75,1233.9000244140625,,,,
2016-03-01,,,,,,,,,,,,,0.36,238.08,12649.6,1.89
2016-03-31,3.596100091934204,67.68000030517578,66.36799621582031,6.455100059509277,14.909500122070312,1.1334655284881592,112.36599731445312,1.4374011754989624,1.297659993171692,94.58999633789062,38.34000015258789,1234.199951171875,,,,
2016-04-01,,,,,,,,,,,,,0.37,238.992,12728.7,1.81
2016-04-30,3.4797000885009766,64.55999755859375,66.43800354003906,6.46589994430542,14.285759925842285,1.135589361190796,108.07599639892578,1.4611338376998901,1.2553000450134277,93.08000183105469,45.91999816894531,1289.199951171875,,,,
2016-05-01,,,,,,,,,,,,,0.37,239.557,12796.3,1.81
2016-05-31,3.5673999786376953,65.66899871826172,67.13300323486328,6.573299884796143,15.803720474243164,1.1148396730422974,110.84100341796875,1.4635074138641357,1.3037999868392944,95.88999938964844,49.099998474121094,1214.800048828125,,,,
2016-06-01,,,,,,,,,,,,,0.38,240.222,12856.9,1.64
2016-06-30,3.237600088119507,63.814998626708984,67.41600036621094,6.626800060272217,14.771249771118164,1.1128050088882446,102.77799987792969,1.3465837240219116,1.293429970741272,96.13999938964844,48.33000183105469,1318.4000244140625,,,,
2016-07-01,,,,,,,,,,,,,0.39,240.101,12911.3,1.5
2016-07-31,3.281899929046631,66.58300018310547,67.00700378417969,6.656099796295166,14.133899688720703,1.108438491821289,104.74500274658203,1.316187858581543,1.3151899576187134,95.52999877929688,41.599998474121094,1349.0,,,,
2016-08-01,,,,,,,,,,,,,0.4,240.545,12995.8,1.56
2016-08-31,3.236799955368042,65.30970001220703,67.12660217285156,6.6803998947143555,14.469499588012695,1.1153244972229004,102.86799621582031,1.3090718984603882,1.3086700439453125,96.0199966430664,44.70000076293945,1306.9000244140625,,,,
2016-09-01,,,,,,,,,,,,,0.4,241.176,13056.7,1.63
2016-09-30,3.2592999935150146,63.08000183105469,66.81629943847656,6.668700218200684,13.918100357055664,1.121956706047058,101.1989974975586,1.2963443994522095,1.315269947052002,95.45999908447266,48.2400016784668,1313.300048828125,,,,
2016-10-01,,,,,,,,,,,,,0.4,241.741,13130.0,1.76
2016-10-31,3.2030999660491943,63.041900634765625,66.78140258789062,6.783400058746338,13.776599884033203,1.0984665155410767,104.56500244140625,1.2215979099273682,1.3401999473571777,98.44999694824219,46.86000061035156,1271.5,,,,
2016-11-01,,,,,,,,,,,,,0.41,242.026,13204.0,2.14
2016-11-30,3.4537999629974365,65.13500213623047,68.60800170898438,6.897299766540527,13.872599601745605,1.0648492574691772,112.47000122070312,1.249219298362732,1.3431199789047241,101.5,49.439998626708984,1170.800048828125,,,,
2016-12-01,,,,,,,,,,,,,0.54,242.637,13248.7,2.49
2016-12-31,3.2523000240325928,60.34130096435547,67.93299865722656,6.945300102233887,13.574299812316895,1.0575296878814697,116.26699829101562,1.2288031578063965,1.3478100299835205,102.38999938964844,53.720001220703125,1150.0,,,,
2017-01-01,,,,,,,,,,,,,0.65,243.618,13324.3,2.43
2017-01-31,3.125499963760376,59.718299865722656,67.82099914550781,6.88070011138916,13.508079528808594,1.0708587169647217,113.6500015258789,1.25,1.310230016708374,99.51000213623047,52.810001373291016,1208.5999755859375,,,,
2017-02-01,,,,,,,,,,,,,0.66,244.006,13391.8,2.42
2017-02-28,3.105299949645996,58.18349838256836,66.69319915771484,6.870100021362305,12.991700172424316,1.0584250688552856,112.74500274658203,1.2439358234405518,1.3186899423599243,101.12000274658203,54.0099983215332,1252.5999755859375,,,,
2017-03-01,,,,,,,,,,,,,0.79,243.892,13452.7,2.48
2017-03-31,3.147700071334839,55.98429870605469,64.79000091552734,6.888999938964844,13.432600021362305,1.0687072277069092,111.7760009765625,1.2478474378585815,1.3332500457763672,100.3499984741211,50.599998474121094,1247.300048828125,,,,
2017-04-01,,,,,,,,,,,,,0.9,244.193,13508.7,2.3
2017-04-30,3.1810998916625977,56.97200012207031,64.05999755859375,6.896900177001953,13.33899974822998,1.0864251852035522,111.22599792480469,1.2893576622009277,1.3627899885177612,99.05000305175781,49.33000183105469,1266.0999755859375,,,,
2017-05-01,,,,,,,,,,,,,0.91,244.004,13561.4,2.3
2017-05-31,3.256200075149536,56.530799865722656,64.61859893798828,6.855800151824951,13.110179901123047,1.117168664932251,110.83899688720703,1.2809016704559326,1.3470200300216675,96.91999816894531,48.31999969482422,1272.0,,,,
2017-06-01,,,,,,,,,,,,,1.04,244.163,13583.3,2.19
2017-06-30,3.3027000427246094,59.41999816894531,64.78510284423828,6.785699844360352,12.986499786376953,1.144164800643921,112.00900268554688,1.3011176586151123,1.2992600202560425,95.66000366210938,46.040000915527344,1240.699951171875,,,,
2017-07-01,,,,,,,,,,,,,1.15,244.243,13640.4,2.32
2017-07-31,3.1777000427246094,59.47919845581055,64.12349700927734,6.738900184631348,12.98900032043457,1.1747292280197144,110.51000213623047,1.3144922256469727,1.2461400032043457,92.86000061035156,50.16999816894531,1266.5999755859375,,,,
2017-08-01,,,,,,,,,,,,,1.16,245.183,13699.8,2.21
2017-08-31,3.158799886703491,58.455101013183594,63.976200103759766,6.595699787139893,13.006500244140625,1.1893434524536133,110.45999908447266,1.2920564413070679,1.2627400159835815,92.66999816894531,47.22999954223633,1316.199951171875,,,,
2017-09-01,,,,,,,,,,,,,1.15,246.435,13748.9,2.2
2017-09-30,3.1809000968933105,57.889801025390625,65.36000061035156,6.664999961853027,13.510100364685059,1.178175449371338,112.46700286865234,1.343021035194397,1.243630051612854,93.08000183105469,51.66999816894531,1281.5,,,,
2017-10-01,,,,,,,,,,,,,1.15,246.626,13808.1,2.36
