Date,DXY,DXY_mom_1m,DXY_mom_3m,DXY_mom_6m,DXY_mom_12m,DXY_vol_6m,DXY_mom_12m_lag1,DXY_mom_12m_lag3,DXY_mom_12m_lag6,Brazil_depr_12m,Brazil_vol_6m,Brazil_depr_lag1,Brazil_depr_lag3,Russia_depr_12m,Russia_vol_6m,Russia_depr_lag1,Russia_depr_lag3,India_depr_12m,India_vol_6m,India_depr_lag1,India_depr_lag3,China_depr_12m,China_vol_6m,China_depr_lag1,China_depr_lag3,South_Africa_depr_12m,South_Africa_vol_6m,South_Africa_depr_lag1,South_Africa_depr_lag3,Germany_EU_depr_12m,Germany_EU_vol_6m,Germany_EU_depr_lag1,Germany_EU_depr_lag3,Japan_depr_12m,Japan_vol_6m,Japan_depr_lag1,Japan_depr_lag3,UK_depr_12m,UK_vol_6m,UK_depr_lag1,UK_depr_lag3,Canada_depr_12m,Canada_vol_6m,Canada_depr_lag1,Canada_depr_lag3,Oil_WTI,Oil_mom_3m,Oil_mom_12m,Oil_mom_12m_lag3,Oil_DXY_ratio,Gold,Gold_mom_3m,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield,US_CPI_yoy,Fed_Rate_chg_3m,BRICS_avg_depr,BRICS_avg_depr_lag1,BRICS_avg_depr_lag3,BRICS_max_depr,Oil_DXY_inv,DSI
2001-07-01,,0.0,0.30234367285986163,1.7551312178474943,9.008765029684707,1.3387964862761386,9.008765029684707,3.3235004356580555,3.637971520160743,,,,,,,,,,,,,,,,,,,,,,,,,8.847703260702456,2.672355243421989,8.847703260702456,8.027544069827375,,,,,,,,,,-7.472685148114655,-2.05223601760397,-16.065084379863947,,,1.9977454030954744,3.77,177.4,5210.0,5.24,1.025056947608216,,,,,,,64.8345576890663
2001-07-31,117.18000030517578,-1.8839487517798292,-1.5873010787708863,1.148037849436645,6.026062128483778,1.491771814774792,9.008765029684707,3.3235004356580555,-0.6858148660892516,,,,,,,,,,,,,,,,,,,,,,,,,7.139185643870105,2.4762842967878127,8.847703260702456,8.027544069827375,,,,,,,,,26.350000381469727,-7.120198794531496,-8.188154421599537,-16.065084379863947,0.22486772753751103,266.20001220703125,0.339247815859256,,,,,1.025056947608216,,,,,,-0.22486772753751103,61.53843001348715
2001-08-01,,0.0,-1.8839487517798292,1.148037849436645,6.026062128483778,1.491771814774792,6.026062128483778,9.008765029684707,-0.6858148660892516,,,,,,,,,,,,,,,,,,,,,,,,,7.139185643870105,2.4762842967878127,7.139185643870105,8.847703260702456,,,,,,,,,,0.3809538341703833,-8.188154421599537,-2.05223601760397,,,-1.6260139679380448,3.65,177.4,5243.8,4.97,0.7954545454545547,,,,,,,61.53843001348715
2001-08-31,113.41999816894533,-3.208740507286356,-5.032238232331309,-4.745109213370135,1.2588126112165865,1.422119669113942,6.026062128483778,9.008765029684707,3.3235004356580555,,,,,,,,,,,,,,,,,,,,,,,,,1.1585319170480224,2.9924980318941157,7.139185643870105,8.847703260702456,,,,,,,,,27.200000762939453,3.619050525483636,-0.8023315563178812,-2.05223601760397,0.23981662142529359,274.3999938964844,1.4042822273681255,,,,,0.7954545454545547,,,,,,-0.23981662142529359,56.14143482984738
2001-09-01,,0.0,-3.208740507286356,-4.745109213370135,1.2588126112165865,1.422119669113942,1.2588126112165865,6.026062128483778,3.3235004356580555,,,,,,,,,,,,,,,,,,,,,,,,,1.1585319170480224,2.9924980318941157,1.1585319170480224,7.139185643870105,,,,,,,,,,3.2258078526157252,-0.8023315563178812,-8.188154421599537,,,3.0803836639480497,3.07,178.1,5355.1,4.73,1.1357183418512218,,,,,,,56.14143482984738
2001-09-30,113.4800033569336,0.05290529796948551,-3.157532803043317,-4.981995254993176,-3.314304591137729,1.3867112497246905,1.2588126112165865,6.026062128483778,9.008765029684707,,,,,,,,,,,,,,0.0011895132230392595,,,,,,,,,,,-5.3473816212405545,2.1437087605257354,1.1585319170480224,7.139185643870105,,,,,,,,,23.43000030517578,-11.081594057005761,-11.249997561628156,-8.188154421599537,0.20646809668731134,292.3999938964844,9.84221656198747,,,,,1.1357183418512218,,,,,,-0.20646809668731134,51.862261939350276
2001-10-01,,0.0,0.05290529796948551,-4.981995254993176,-3.314304591137729,1.3867112497246905,-3.314304591137729,1.2588126112165865,9.008765029684707,,,,,,,,,,,,,,0.0011895132230392595,,,,,,,,,,,-5.3473816212405545,2.1437087605257354,-5.3473816212405545,1.1585319170480224,,,,,,,,,,-13.860295411830915,-11.249997561628156,-0.8023315563178812,,,6.559766909758169,2.49,177.6,5343.8,4.57,0.6802721088435382,,,,,,,51.862261939350276
2001-10-31,114.86000061035156,1.2160708605880144,1.2696195244698227,-1.979859778786619,-0.8545514689762168,1.4933538538152908,-3.314304591137729,1.2588126112165865,6.026062128483778,,,,,,,,,,,,,,0.0010122311306432908,,,,,,,,,,,-0.7942906057342269,2.481679558105941,-5.3473816212405545,1.1585319170480224,,,,,,,,,21.18000030517578,-22.13235400333533,-25.57975760185014,-0.8023315563178812,0.1843983997268669,279.5,1.8586028487447948,,,,,0.6802721088435382,,,,,,-0.1843983997268669,54.917298205508
2001-11-01,,0.0,1.2160708605880144,-1.979859778786619,-0.8545514689762168,1.4933538538152908,-0.8545514689762168,-3.314304591137729,6.026062128483778,,,,,,,,,,,,,,0.0010122311306432908,,,,,,,,,,,-0.7942906057342269,2.481679558105941,-0.7942906057342269,-5.3473816212405545,,,,,,,,,,-9.603072858274642,-25.57975760185014,-11.249997561628156,,,-4.411762710587208,2.09,177.5,5387.5,4.65,0.11280315848842815,,,,,,,54.917298205508
2001-11-30,116.12999725341795,1.1056909597055409,2.3352078058626935,2.389348552480075,-2.4691378591933155,0.5940267928535091,-0.8545514689762168,-3.314304591137729,1.2588126112165865,,,,,,,,,,,,,,0.0019336572070407442,,,,,,,,,,,3.5393721986867632,0.9518457339970027,-0.7942906057342269,-5.3473816212405545,,,,,,,,,19.440000534057617,-17.029448225131937,-31.47691237578787,-11.249997561628156,0.1673986135695483,273.8999938964844,-6.326949516472757,,,,,0.11280315848842815,,,,,,-0.1673986135695483,53.50490008974018
2001-12-01,,0.0,1.1056909597055409,2.389348552480075,-2.4691378591933155,0.5940267928535091,-2.4691378591933155,-0.8545514689762168,1.2588126112165865,,,,,,,,,,,,,,0.0019336572070407442,,,,,,,,,,,3.5393721986867632,0.9518457339970027,3.5393721986867632,-0.7942906057342269,,,,,,,,,,-8.215296251402593,-31.47691237578787,-25.57975760185014,,,-2.003580001257832,1.82,177.4,5440.5,5.09,-0.16882386043892694,,,,,,,53.50490008974018
2001-12-31,116.75,0.5338868175714051,1.6454809155538985,2.881561990072501,-2.2439925465357557,0.5704900431206538,-2.4691378591933155,-0.8545514689762168,-3.314304591137729,,,,,,,,,,,,,-0.0012098371513058481,0.00436603321533935,,,,,,,,,,,5.75903467385166,2.6271837103049167,3.5393721986867632,-0.7942906057342269,,,,,,,,,19.84000015258789,-6.326723953164592,-24.41904703776042,-25.57975760185014,0.16993576147826886,278.70001220703125,-0.28622103505142604,,,,,-0.16882386043892694,,-0.0012098371513058481,,,-0.0012098371513058481,-0.16993576147826886,53.69871365378767
2002-01-01,,0.0,0.5338868175714051,2.881561990072501,-2.2439925465357557,0.5704900431206538,-2.2439925465357557,-2.4691378591933155,-3.314304591137729,,,,,,,,,,,,,-0.0012098371513058481,0.00436603321533935,-0.0012098371513058481,,,,,,,,,,5.75903467385166,2.6271837103049167,5.75903467385166,3.5393721986867632,,,,,,,,,,2.057611149904548,-24.41904703776042,-31.47691237578787,,,1.7524711272395743,1.73,177.7,5460.9,5.04,0.16910935738443378,,-0.0012098371513058481,-0.0012098371513058481,,-0.0012098371513058481,,53.69871365378767
2002-01-31,120.23999786376952,2.9892915321366287,3.539137783136903,4.683960669362119,2.611365037228608,1.1723804543903844,-2.2439925465357557,-2.4691378591933155,-0.8545514689762168,,,,,,,,,,,,,-0.002419703577094534,0.004349255275790558,-0.0012098371513058481,,,,,,,,,,7.887363260910929,2.6263775321766483,5.75903467385166,3.5393721986867632,,,,,,,,,19.479999542236328,0.2057562092585119,-26.07210906935937,-31.47691237578787,0.1620093137751627,282.1000061035156,2.993797878699578,,,,,0.16910935738443378,,-0.002419703577094534,-0.0012098371513058481,,-0.002419703577094534,-0.1620093137751627,59.05705949004645
2002-02-01,,0.0,2.9892915321366287,4.683960669362119,2.611365037228608,1.1723804543903844,2.611365037228608,-2.2439925465357557,-0.8545514689762168,,,,,,,,,,,,,-0.002419703577094534,0.004349255275790558,-0.002419703577094534,-0.0012098371513058481,,,,,,,,,7.887363260910929,2.6263775321766483,7.887363260910929,5.75903467385166,,,,,,,,,,-1.814519191445696,-26.07210906935937,-24.41904703776042,,,1.2199475233458879,1.74,178.0,5490.2,4.91,0.33821871476888976,,-0.002419703577094534,-0.002419703577094534,-0.0012098371513058481,-0.002419703577094534,,59.05705949004645
2002-02-28,119.16000366210938,-0.8981987864668528,2.0642429654041727,2.609150504050528,5.060840756331175,1.3326095032067844,2.611365037228608,-2.2439925465357557,-2.4691378591933155,,,,,,,,,,,,,-0.004839290057712109,0.0033957339518199954,-0.002419703577094534,-0.0012098371513058481,,,,,,,,,12.387374074835522,2.8479144036472026,7.887363260910929,5.75903467385166,,,,,,,,,21.850000381469727,10.131049462817954,-19.669118497817138,-24.41904703776042,0.18336689921080973,296.70001220703125,6.45855730592102,,,,,0.33821871476888976,,-0.004839290057712109,-0.002419703577094534,-0.0012098371513058481,-0.004839290057712109,-0.18336689921080973,61.281368536341745
2002-03-01,,0.0,-0.8981987864668528,2.609150504050528,5.060840756331175,1.3326095032067844,5.060840756331175,2.611365037228608,-2.4691378591933155,,,,,,,,,,,,,-0.004839290057712109,0.0033957339518199954,-0.004839290057712109,-0.002419703577094534,,,,,,,,,12.387374074835522,2.8479144036472026,12.387374074835522,7.887363260910929,,,,,,,,,,12.166329029396472,-19.669118497817138,-26.07210906935937,,,5.175471743222215,1.73,178.5,5502.0,5.28,0.224592925322864,,-0.004839290057712109,-0.004839290057712109,-0.002419703577094534,-0.004839290057712109,,61.281368536341745
2002-03-31,118.62000274658205,-0.45317295982849615,-1.3473013522695698,1.6017154146312995,4.529431827280961,1.3784672975077994,5.060840756331175,2.611365037228608,-2.2439925465357557,,,,,,,,,,,,,0.006037590452967478,0.004738160445113852,-0.004839290057712109,-0.002419703577094534,,,,,,,,,11.064607649712976,1.2010714309029218,12.387374074835522,7.887363260910929,,,,,,,,,26.229999542236328,34.650924838908345,11.950487411824806,-26.07210906935937,0.22112627663880347,302.6000061035156,7.266926464538104,,,,,0.224592925322864,,0.006037590452967478,-0.004839290057712109,-0.002419703577094534,0.006037590452967478,-0.22112627663880347,60.00862703594487
2002-04-01,,0.0,-0.45317295982849615,1.6017154146312995,4.529431827280961,1.3784672975077994,4.529431827280961,5.060840756331175,-2.2439925465357557,,,,,,,,,,,,,0.006037590452967478,0.004738160445113852,0.006037590452967478,-0.004839290057712109,,,,,,,,,11.064607649712976,1.2010714309029218,11.064607649712976,12.387374074835522,,,,,,,,,,20.045762399533572,11.950487411824806,-19.669118497817138,,,1.9885384744667611,1.75,179.3,5502.1,5.21,0.9572072072072224,,0.006037590452967478,0.006037590452967478,-0.004839290057712109,0.006037590452967478,,60.00862703594487
2002-04-30,115.19000244140624,-2.891586769310406,-3.331655839790415,-4.199929733935015,0.2873078785487371,1.1289775322644242,4.529431827280961,5.060840756331175,2.611365037228608,,,,,,,,,,,,,0.003617901653907296,0.0045651770606704506,0.006037590452967478,-0.004839290057712109,,,,,,,,,5.008167628267479,1.226380069198461,11.064607649712976,12.387374074835522,,,,,,,,,27.290000915527344,24.89702718115787,28.847972248888286,-19.669118497817138,0.23691292939601216,308.8999938964844,4.111891199027062,,,,,0.9572072072072224,,0.003617901653907296,0.006037590452967478,-0.004839290057712109,0.003617901653907296,-0.23691292939601216,55.15743876847588
