Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield,Brazil_GDP_growth,Canada_GDP_growth,China_GDP_growth,Germany_EU_GDP_growth,UK_GDP_growth,India_GDP_growth,Japan_GDP_growth,Russia_GDP_growth,South_Africa_GDP_growth,Brazil_Debt_to_GDP,Canada_Debt_to_GDP,China_Debt_to_GDP,Germany_EU_Debt_to_GDP,UK_Debt_to_GDP,India_Debt_to_GDP,Japan_Debt_to_GDP,Russia_Debt_to_GDP,South_Africa_Debt_to_GDP,Brazil_CPI_inflation,Canada_CPI_inflation,China_CPI_inflation,Germany_EU_CPI_inflation,UK_CPI_inflation,India_CPI_inflation,Japan_CPI_inflation,Russia_CPI_inflation,South_Africa_CPI_inflation,Brazil_Trade_balance,Canada_Trade_balance,China_Trade_balance,Germany_EU_Trade_balance,UK_Trade_balance,India_Trade_balance,Japan_Trade_balance,Russia_Trade_balance,South_Africa_Trade_balance,Brazil_Current_acct,Canada_Current_acct,China_Current_acct,Germany_EU_Current_acct,UK_Current_acct,India_Current_acct,Japan_Current_acct,Russia_Current_acct,South_Africa_Current_acct,Brazil_Stock,Brazil_Stock_return_12m
2020-05-31,5.403600215911865,70.50489807128906,75.95999908447266,7.145199775695801,17.4773006439209,1.1079105138778689,107.64299774169922,1.2321492433547974,1.377400040626526,98.33999633789062,35.4900016784668,1736.9000244140625,,,,,-3.27675879612903,-5.03823343468899,2.34018843078414,-4.13191443239947,-10.047896637362,-5.77772470686801,-4.16876457146743,-2.65365450102773,-6.1689177146757,98.7098819481716,74.5544073791525,,,194.682828796265,46.5224986659322,,22.992021036968,75.7255090818801,3.21176803803376,0.716999632307827,2.41942189457782,0.144877925813982,0.989486703772491,6.62343677628535,-0.024995834027731,3.38219796948068,3.23238831615113,0.60502547559268,-2.20947649340742,2.36821355050636,5.30608104975194,0.73741481230468,-0.393151469925627,-0.268842908128662,5.07746281979712,4.39216924037491,-1.64103535066212,-2.01049352658992,1.65930095801393,6.34782686016016,-2.92883387550298,1.22362111042791,2.96847858242383,2.36911533657246,2.00352275153333,87403.0,-9.921673709162116
2020-06-01,,,,,,,,,,,,,0.08,257.042,18173.5,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,5.402100086212158,69.9729995727539,75.69999694824219,7.079599857330322,17.219200134277344,1.1247202157974243,107.58999633789062,1.2310571670532229,1.3656599521636963,97.38999938964844,39.27000045776367,1793.0,,,,,-3.27675879612903,-5.03823343468899,2.34018843078414,-4.13191443239947,-10.047896637362,-5.77772470686801,-4.16876457146743,-2.65365450102773,-6.1689177146757,98.7098819481716,74.5544073791525,,,194.682828796265,46.5224986659322,,22.992021036968,75.7255090818801,3.21176803803376,0.716999632307827,2.41942189457782,0.144877925813982,0.989486703772491,6.62343677628535,-0.024995834027731,3.38219796948068,3.23238831615113,0.60502547559268,-2.20947649340742,2.36821355050636,5.30608104975194,0.73741481230468,-0.393151469925627,-0.268842908128662,5.07746281979712,4.39216924037491,-1.64103535066212,-2.01049352658992,1.65930095801393,6.34782686016016,-2.92883387550298,1.22362111042791,2.96847858242383,2.36911533657246,2.00352275153333,95056.0,-5.854388067388349
2020-07-01,,,,,,,,,,,,,0.09,258.352,18330.1,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,5.153900146484375,73.32150268554688,74.98999786376953,7.007299900054932,16.725099563598633,1.1872254610061646,104.68299865722656,1.311785101890564,1.3412799835205078,93.48999786376952,40.27000045776367,1962.800048828125,,,,,-3.27675879612903,-5.03823343468899,2.34018843078414,-4.13191443239947,-10.047896637362,-5.77772470686801,-4.16876457146743,-2.65365450102773,-6.1689177146757,98.7098819481716,74.5544073791525,,,194.682828796265,46.5224986659322,,22.992021036968,75.7255090818801,3.21176803803376,0.716999632307827,2.41942189457782,0.144877925813982,0.989486703772491,6.62343677628535,-0.024995834027731,3.38219796948068,3.23238831615113,0.60502547559268,-2.20947649340742,2.36821355050636,5.30608104975194,0.73741481230468,-0.393151469925627,-0.268842908128662,5.07746281979712,4.39216924037491,-1.64103535066212,-2.01049352658992,1.65930095801393,6.34782686016016,-2.92883387550298,1.22362111042791,2.96847858242383,2.36911533657246,2.00352275153333,102912.0,1.0804227399520583
2020-08-01,,,,,,,,,,,,,0.1,259.316,18396.3,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,5.389999866485596,74.13020324707031,73.12830352783203,6.8643999099731445,16.570859909057617,1.1918240785598757,105.53500366210938,1.3356484174728394,1.3080300092697144,92.13999938964844,42.61000061035156,1967.5999755859373,,,,,-3.27675879612903,-5.03823343468899,2.34018843078414,-4.13191443239947,-10.047896637362,-5.77772470686801,-4.16876457146743,-2.65365450102773,-6.1689177146757,98.7098819481716,74.5544073791525,,,194.682828796265,46.5224986659322,,22.992021036968,75.7255090818801,3.21176803803376,0.716999632307827,2.41942189457782,0.144877925813982,0.989486703772491,6.62343677628535,-0.024995834027731,3.38219796948068,3.23238831615113,0.60502547559268,-2.20947649340742,2.36821355050636,5.30608104975194,0.73741481230468,-0.393151469925627,-0.268842908128662,5.07746281979712,4.39216924037491,-1.64103535066212,-2.01049352658992,1.65930095801393,6.34782686016016,-2.92883387550298,1.22362111042791,2.96847858242383,2.36911533657246,2.00352275153333,99369.0,-1.7461808473822171
2020-09-01,,,,,,,,,,,,,0.09,259.997,18628.8,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,5.630499839782715,78.96510314941406,73.84500122070312,6.815400123596191,16.926979064941406,1.1742050647735596,105.66400146484376,1.2866535186767578,1.338379979133606,93.88999938964844,40.220001220703125,1887.5,,,,,-3.27675879612903,-5.03823343468899,2.34018843078414,-4.13191443239947,-10.047896637362,-5.77772470686801,-4.16876457146743,-2.65365450102773,-6.1689177146757,98.7098819481716,74.5544073791525,,,194.682828796265,46.5224986659322,,22.992021036968,75.7255090818801,3.21176803803376,0.716999632307827,2.41942189457782,0.144877925813982,0.989486703772491,6.62343677628535,-0.024995834027731,3.38219796948068,3.23238831615113,0.60502547559268,-2.20947649340742,2.36821355050636,5.30608104975194,0.73741481230468,-0.393151469925627,-0.268842908128662,5.07746281979712,4.39216924037491,-1.64103535066212,-2.01049352658992,1.65930095801393,6.34782686016016,-2.92883387550298,1.22362111042791,2.96847858242383,2.36911533657246,2.00352275153333,94603.0,-9.682562413480355
2020-10-01,,,,,,,,,,,,,0.09,260.319,18783.4,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
